uri,cid,author_did,author_handle,created_at,text,link
at://did:plc:efmvzvavyv2uz4ofcawlvlyw/app.bsky.feed.post/3m5zz363ajw2u,bafyreibgh3ejbrhypz2uozwdmz5cnaxqmfpdytintlqganplu6i7azo2ca,did:plc:efmvzvavyv2uz4ofcawlvlyw,evry1getsatrophy.bsky.social,2025-11-20T05:13:34.999Z,Nothing says “ I am a fucking demented Narcissist “.,https://bsky.app/profile/
at://did:plc:vawbjtrxceidd5hphinnwmzg/app.bsky.feed.post/3m5zyyekcrc2g,bafyreibwguspru6bopjitnybwbbe24oipvgr3cpbrmu6pssnbeg4ct3gja,did:plc:vawbjtrxceidd5hphinnwmzg,paulinsc.bsky.social,2025-11-20T05:12:01.122Z,"Roman you must have been in a hurry to leave these out-

Family history of Alzheimer disease
Malignant narcissist
Psychopath
Micropenis disorder
Illusions of grandeur
Habitual liar
Paranoia
Tankles
What's up with his skin?
Diapers?

I quit- still can't type. V⭐",https://bsky.app/profile/
at://did:plc:bimku6xq2nasrsm7csz7nckd/app.bsky.feed.post/3m5zyszq5rk2g,bafyreibt7bty3u4kn3hxh7lwrhkwot5dvrua4qxfyvz6qyz6abd4pbxbfa,did:plc:bimku6xq2nasrsm7csz7nckd,michael-soerensen.bsky.social,2025-11-20T05:09:02.007Z,"Ukraine is lost because of TRAITOR TRUMP.🤮

USA is betraying both Ukraine and Europe. USA is no longer a trusted NATO partner🤮

USA is transiting to be an authoritarian dictatorship with a mad narcissist in lead🤮

I wonder how much Putin paid Trump for selling Ukraine🤮",https://bsky.app/profile/
at://did:plc:fnafv5aftgzipk2ma4gvyifw/app.bsky.feed.post/3m5x564pepc2k,bafyreihcxffoboolnfhjivb5jko7rk3equsak46lljkows3vudixrf5ixy,did:plc:fnafv5aftgzipk2ma4gvyifw,survivortothriver.bsky.social,2025-11-19T01:48:49.977Z,Trump’s vicious words to the woman reporter today IS abuse. It is prime Narc speak. This caustic example can be hard to explain to the untrained ear. Because it’s vile w/o the use of cursing which many associate as being the worst way to put someone down. But this punch down hits hard at the psyche.,https://bsky.app/profile/
at://did:plc:cv2po7wsa53hkb3otou2jsof/app.bsky.feed.post/3m5jd5kdw3c2o,bafyreig4alyrbgd5kzybq624vz37jeieg6axnr6yk4vkxyrc67zasq7kiu,did:plc:cv2po7wsa53hkb3otou2jsof,homicidalkgs.bsky.social,2025-11-13T13:58:36.842Z,Narcs are pure evil & I have no problem saying so. The vast majority of them will refuse help & when they are put in therapy they will choose to use it as a way to get worse. Ppl who haven't suffered narc abuse will never understand. I'm so sorry.,https://bsky.app/profile/
at://did:plc:yr453k27jzcj27yuvhe6fzoz/app.bsky.feed.post/3m56czlktxc2d,bafyreibup26x3mgkuwelaklfc6vkoau73rxvhmeq5pl27ahqtmq7gadenq,did:plc:yr453k27jzcj27yuvhe6fzoz,bloomgravetroupe.bsky.social,2025-11-09T04:57:06.778Z,"WOW just found out there's a sub that's basically narc abuse but BPD and that just. Really fucking sucks. Why do people hate us
-⚰️ Ashley",https://bsky.app/profile/
at://did:plc:qe6lkigfogwgsedjvhdramvi/app.bsky.feed.post/3m4yjiqvwe22h,bafyreiaptye4yasvtppdh2zz4kzotbxtlulqb5k7wfncoqsognfqj6dgzm,did:plc:qe6lkigfogwgsedjvhdramvi,ladyasrai.bsky.social,2025-11-06T21:36:59.452Z,"They feel empathy but they are too still self invested to want to HURT for their allyship. At which point in narc abuse those enablers usually turn on the Other to secure compliance.

from a sociological perspective, Trump is putting a thumb on his base & demanding an end to resistance as well.",https://bsky.app/profile/
at://did:plc:pv3dytirkkxh3yxvw2t7kxdz/app.bsky.feed.post/3m4o33lfzbs2d,bafyreib6uldlizktt7ilwd4xczwr5y63yjn4cryxq5v36i44zcplwf6g7q,did:plc:pv3dytirkkxh3yxvw2t7kxdz,21sted.bsky.social,2025-11-02T17:52:27.979Z,"Tactics used by white males wanting to gain & maintain power, over-power others' will. NPD is manipulation, exploitation, & a grandiose sense of self-importance of the ones wanting power over others. A narc doing it is ""invisible abuse"" of his (or her) target(s). trump lies make him less effective.",https://bsky.app/profile/
at://did:plc:llxrgdokn2vreknqg2qidxst/app.bsky.feed.post/3m4i7f4ndv22f,bafyreifivxyqmzi322w4vhswzdqh4xc4g2r432kikbytjohlzj6dttw3ou,did:plc:llxrgdokn2vreknqg2qidxst,jennabean75.bsky.social,2025-10-31T09:53:24.572Z,"This was my quantum snap on my Narc abuser… I snapped after a full year of such torment,emotional neglect, emotional cheating,triangulation of his ex wife who was clearly haggard from years of abuse herself. The dark empath just sent messages to protect my inner child www.threads.com/@henia_king3...",https://bsky.app/profile/
at://did:plc:5cx4pzibzpvjfda4ekgprl3o/app.bsky.feed.post/3m624d5z6622k,bafyreifp7rppiszpseppz4kvjhp6bqygdzjf4x5xyzjrvk64g5pami5qti,did:plc:5cx4pzibzpvjfda4ekgprl3o,cinemagay.bsky.social,2025-11-20T06:11:44.592Z,Everyone gets to bond over shared trauma except me. 😢,https://bsky.app/profile/
